N=100, M=15, T=30
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EXPERIMENT | AKPU                                      | SPU                                       | SPUhull                                   | KPU                                       | AMPU
           |                 TIME                VALUE |                 TIME                VALUE |                 TIME                VALUE |                TIME                 VALUE |                 TIME                VALUE
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0 |            62.199627       0.871590478977 |            36.571485       0.871056453644 |            25.927755       0.871056453611 |            62.021724       0.875952371018 |           167.754994       0.827177877092
         1 |            54.545958       0.815421335214 |            23.438369       0.815401005035 |            20.479287       0.815401005035 |            54.699492       0.816080675495 |           162.161984       0.767369056119
         2 |            66.279541       0.710770877567 |            40.363843       0.694018796869 |              30.4513       0.694018796869 |            65.118029       0.711031804432 |           167.009772       0.650519012145
         3 |             49.51367       0.870652850485 |            17.196903       0.848180331964 |             14.92416       0.848180331964 |            49.401085        0.87177246319 |           191.926982       0.822186053031
         4 |            48.914829       0.701891055816 |            17.268135       0.700377811518 |            15.018132       0.700377811518 |            49.113156       0.701158791346 |           197.477759       0.721036531385
         5 |             55.77696       0.684257669252 |             23.09763       0.680262251672 |            19.894591       0.680262251672 |            53.424229       0.687023196473 |            166.20983       0.618445801386
         6 |            49.185037        0.77775588047 |             23.13627       0.758081841814 |            15.104021       0.758081841814 |            52.555846       0.758981574791 |           192.258799       0.723274498224
         7 |             55.10975         0.8688335081 |            23.014158       0.844615015116 |            20.094702       0.844615015116 |            54.201463        0.84476543638 |           149.134945        0.85837056138
         8 |             61.64526       0.844068405673 |            23.222607       0.808454948214 |            25.245461       0.808454948229 |            60.732591       0.810147880952 |           171.777187       0.789625287023
         9 |            54.595076       0.815052076481 |            29.243964        0.81005086162 |            20.481913        0.81005086162 |            55.159786       0.825458881725 |           192.643859       0.774500548223
        10 |            58.916599        0.74517654316 |            28.953098       0.745115267512 |             25.23366       0.745115267512 |            59.853763       0.781433756044 |           201.033995       0.731811234058
        11 |             65.39119       0.806151107962 |             34.62414       0.726727136834 |             30.51962       0.726727136835 |            64.851237       0.733272963104 |           219.041793       0.667146930616
        12 |            59.906365       0.690271359486 |            39.880535       0.682091048938 |            25.033579       0.682091048935 |            59.415065       0.721289470074 |           190.574573       0.669740950995
        13 |            59.715564       0.839787487405 |            23.008322       0.816462573991 |            25.025091       0.816462573991 |            59.098055       0.822537485844 |           152.096185       0.698045532021
        14 |            54.090085       0.773972958612 |            23.112461       0.756574554125 |            20.033557       0.756574554125 |            54.574219       0.771740130521 |            165.54833       0.616519741248
        15 |            69.495444       0.825221676162 |            22.660363       0.825118167203 |            34.556379       0.825118167203 |            67.655352       0.825332827388 |           203.258909       0.731623488267
        16 |            54.301688       0.885521129801 |            22.729872       0.841027171153 |            19.823342       0.841027171151 |            54.123763       0.846328717396 |           180.829655       0.791935029924
        17 |            54.444337       0.792528386624 |            28.726211       0.792125834283 |            20.103906       0.792125834283 |            53.982531       0.792134355183 |           155.506685       0.733696905345
        18 |            64.689493       0.731541650962 |            29.096016       0.701006070723 |            30.355498       0.701006070723 |            63.839766       0.702873728139 |           174.911559       0.660449327242
        19 |            73.429775       0.837876329103 |            23.216567       0.830314046995 |            35.191465       0.830314046996 |            69.990628       0.835492266792 |           256.761008       0.807287786266
        20 |            60.608384       0.825926242088 |            29.536105       0.724364680102 |            25.987577       0.724364680102 |            60.908049       0.785840020437 |           163.790915       0.713777101654
        21 |            49.638149       0.706363095173 |            23.089146       0.690736561045 |            15.065291       0.690736561045 |             49.45203       0.706977114972 |           161.917743       0.576057756515
        22 |            61.908869        0.83801105665 |            46.417376       0.807506831848 |             25.15007       0.807506831848 |            60.272488        0.82618856561 |           173.439242       0.709905548731
        23 |            58.689375       0.853142209916 |            22.871332       0.802109711925 |            24.658694       0.802109711925 |            58.873831       0.817438465452 |           189.396861       0.635512912004
        24 |            60.314223       0.644214505858 |             28.73849       0.644112303119 |            25.072953       0.644112303119 |            58.555551        0.70628969705 |           173.922276        0.58662829966
        25 |            64.243279       0.738167801578 |            34.504833       0.731234416134 |             30.25548       0.731234416134 |            64.139151       0.735157585024 |           169.664095        0.66429421125
        26 |             51.19868       0.458710532558 |            17.518558       0.450242720333 |            15.303964       0.450242720333 |            50.419598       0.460839948008 |           192.257995       0.439656862139
        27 |            63.272952       0.758490286281 |            34.305969       0.756488813552 |            29.871292       0.756488813553 |            64.930893       0.772430940706 |           225.161569       0.711011891271
        28 |            58.745834       0.756983793001 |            28.844618       0.738504341532 |            25.017837       0.738504341532 |            58.766285       0.785996486998 |           183.986775       0.667337283637
        29 |            60.667342       0.743554274412 |            25.868966        0.66440582397 |            22.451808        0.66440582397 |            61.932779       0.769862887476 |            251.41837        0.66849285238
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   AVERAGE |           58.7144445       0.773730218828 |           27.4752114       0.751892246426 |        23.7444128333       0.751892246425 |        58.4020811667       0.770061016267 |        184.762488133       0.701114562374
