N=100, M=20, T=30
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EXPERIMENT | AKPU                                       | SPU                                       | SPUhull                                   | KPU                                       | AMPU
           |                 TIME                 VALUE |                 TIME                VALUE |                 TIME                VALUE |                TIME                 VALUE |                 TIME                VALUE
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0 |           154.580732          0.7689724278 |             52.78122       0.768580253191 |            66.957155       0.768580253275 |           205.859623        0.79480883923 |            51.126453       0.444126280067
         1 |           157.929528        0.734797523002 |            50.266859        0.72950424829 |            64.681345       0.729504248258 |           150.249536       0.738918381063 |            62.572768       0.493208852914
         2 |           135.732976        0.693762533566 |            49.914595       0.693672784178 |            54.156123       0.693672784178 |           144.428265       0.695077276186 |              74.8878       0.432039564508
         3 |           144.039153        0.757306106893 |            62.747226       0.755020171974 |            53.649821       0.755020171973 |           141.374556       0.783715699923 |            64.457497       0.595119948615
         4 |            143.98696        0.875126136862 |            64.243058       0.856005323411 |            54.383888       0.856005323411 |           137.718097       0.875804854553 |             74.57366       0.580690406813
         5 |           139.473747        0.642276508616 |            50.300611       0.636775117083 |            53.644286       0.636775117083 |           136.748064        0.63825618437 |            71.950525       0.440975654262
         6 |            118.99625        0.832102001006 |            49.432024       0.809938360406 |            32.036973       0.809938360406 |            122.26735       0.810958749068 |            63.236888       0.689914657169
         7 |           137.491457         0.75943246585 |            62.060776       0.759285004977 |            53.741924       0.759285004977 |           141.011137       0.759465726007 |            46.714801       0.612945851481
         8 |           116.595715        0.732385499586 |            37.040348        0.71174981133 |            31.943469        0.71174981133 |           121.976704       0.732372870153 |            65.558072        0.46781955361
         9 |           142.164985        0.790692122708 |            49.782837       0.776637241808 |             53.73177       0.776637241808 |           142.124209       0.793391998588 |            47.393193       0.560582418069
        10 |            115.55905        0.654497846809 |            50.134011       0.654495448118 |            32.320323       0.654495448118 |           117.451142       0.662863881763 |            61.432324       0.447284050748
        11 |           128.741262        0.775611112756 |            50.117623       0.775609936134 |            43.219162       0.775609936134 |            128.02348       0.776300143299 |            69.108082       0.592123869792
        12 |           117.810119        0.742041500041 |            50.514108       0.736921732711 |            32.378138       0.736921732711 |           127.816184       0.742761308224 |            50.385806       0.539547914696
        13 |           143.562038        0.725835172417 |            74.724986        0.72571934317 |            53.877124        0.72571934317 |           141.308826        0.72838766984 |            57.673591       0.509311435521
        14 |           164.398422        0.798184643962 |            49.760122       0.776476864295 |            74.581006       0.776476864297 |           174.862695        0.78969626098 |             69.25115       0.662974620151
        15 |           139.821731        0.722039625175 |            75.203269       0.709651402215 |            54.025522       0.709651402215 |           147.948655       0.733438382687 |             68.97215       0.453654733515
        16 |           130.325485        0.792616450304 |            62.249831       0.792615821089 |            42.962237       0.792615821089 |           131.572755        0.79527642738 |            58.580547       0.588529131799
        17 |           138.304724        0.736016516777 |            76.295648       0.685017653377 |            54.363841       0.685017653377 |           146.564917       0.718679470401 |            48.657639       0.597913324762
        18 |           128.283823        0.779194772643 |            62.051516       0.760795713746 |            43.000301       0.760795713746 |           133.759298       0.789573479336 |            67.100119       0.531046104076
        19 |           154.775043        0.806915365744 |            75.777311       0.806532449032 |            65.352052       0.806532449032 |           158.313899        0.80880838121 |            75.164398       0.500909506787
        20 |           119.227695        0.709063023241 |            75.830928       0.681011782872 |            32.482576       0.681011782872 |            144.77543        0.70626931124 |            49.557608       0.520062808854
        21 |           146.437158        0.755132873335 |            62.900688       0.754789992304 |            54.235372       0.754789992304 |           142.939201       0.755202117081 |            49.480047       0.579696500042
        22 |           122.635336        0.703727457472 |            38.211437       0.663537895871 |            32.758212       0.663537895871 |           118.124679       0.715315933863 |            50.578039       0.536496817214
        23 |             130.4909        0.749912208678 |            49.562032       0.739241619657 |            42.963269       0.739241619657 |           136.855224       0.754681671559 |            61.937931       0.489076280536
        24 |           162.960324        0.820668325878 |            61.529075       0.715956249238 |            74.501784       0.715956249238 |           157.899434       0.800290875262 |            81.621546       0.569725622059
        25 |           142.694652        0.845634931699 |            87.465791        0.79014240735 |             54.33592        0.79014240735 |           153.020612       0.839329387162 |             80.42568        0.59439463403
        26 |           126.586135        0.778227195905 |            62.310035       0.775632477661 |            42.801329       0.775632477661 |           134.364751       0.778348814536 |            85.164488       0.551473118205
        27 |            126.02697        0.831551834203 |            62.516846       0.824713586899 |            43.148069       0.824713586915 |           132.895729       0.826047179619 |            50.384279       0.568905875423
        28 |           136.360199        0.823357194942 |            62.415352       0.821947191279 |            53.621709       0.821947191279 |            149.31922       0.823515862123 |            60.969812       0.625021216691
        29 |           133.840277        0.831106385566 |             62.08568       0.823089894497 |            42.711129       0.823089894497 |           127.443044       0.836246027458 |            48.253886       0.674177768302
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   AVERAGE |        136.661094867       0.765606258781 |        59.3408614333       0.750368925939 |        49.6188609667       0.750368925941 |        141.633890533       0.766793438805 |        62.2390259667        0.54832495069
